id,happiness,survey_type,province,city,county,survey_time,gender,birth,nationality,religion,religion_freq,edu,income,political,floor_area,height_cm,weight_jin,health,health_problem,depression,hukou,socialize,relax,learn,equity,class,family_income,family_m,family_status,house,car,marital,status_peer,status_3_before,view,inc_ability
1007,4,1,18,53,87,16632,1,1978,1,1,1,6,10000.0,1,110.0,176.0,150.0,4,5,2,2,4,3,2,2,5,20000.0,5,3,1,2,3,2,2,4,3
1008,4,2,21,64,100,16636,1,1951,1,1,1,4,10000.0,1,130.0,160.0,110.0,3,2,4,1,3,3,1,4,5,20000.0,3,3,1,2,3,2,1,4,2
1009,5,2,22,67,107,16623,1,1988,8,0,3,3,40000.0,1,110.0,165.0,97.0,4,5,4,1,4,2,2,3,2,40000.0,3,2,1,2,3,3,1,4,2
1010,3,1,18,53,87,16632,1,1994,1,1,1,12,0.0,2,100.0,171.0,120.0,4,5,3,1,3,3,1,2,4,60000.0,3,3,1,2,1,2,2,3,2
1011,4,1,17,50,83,16640,1,1955,1,1,1,6,12000.0,1,90.0,170.0,140.0,4,4,3,2,2,4,2,4,5,40000.0,1,3,1,2,3,2,2,4,2
1012,3,1,5,8,24,16650,2,1961,1,1,1,4,0.0,1,52.0,162.0,70.0,3,3,4,5,3,2,1,3,2,10000.0,2,3,1,2,3,2,1,4,2
1013,4,2,31,87,131,16664,1,1955,1,1,1,4,10000.0,1,63.0,172.0,140.0,4,4,5,1,3,2,3,4,5,10000.0,2,3,1,2,4,2,2,4,2
1014,4,2,9,21,43,16621,2,1965,1,1,1,3,20000.0,1,100.0,158.0,105.0,2,3,3,1,2,3,1,2,3,70000.0,3,3,1,2,3,2,2,3,2
1015,4,2,5,11,27,16643,1,1957,1,1,1,3,3000.0,1,105.0,170.0,120.0,4,3,4,1,1,5,2,4,5,13000.0,3,3,1,1,3,2,2,3,2
1016,5,1,23,68,108,16719,1,1997,1,1,1,6,0.0,2,80.0,178.0,126.0,5,4,4,1,2,3,4,3,5,100000.0,4,3,1,1,1,2,2,3,2
1017,4,1,26,75,115,16725,2,1965,1,1,1,3,200000.0,1,120.0,160.0,110.0,3,3,3,1,3,2,2,2,5,200000.0,6,3,1,2,7,2,1,3,2
1018,4,2,18,52,85,16637,1,1937,1,1,3,4,720.0,1,40.0,170.0,90.0,2,2,2,1,3,2,1,4,4,1440.0,3,2,1,2,3,2,1,3,2
1019,2,1,5,11,27,16644,1,1960,1,1,1,4,0.0,1,80.0,172.0,130.0,1,1,2,2,3,4,2,2,1,20000.0,2,2,1,2,3,3,2,4,2
1020,2,2,18,51,84,16644,1,1968,1,1,1,3,10000.0,1,100.0,165.0,110.0,2,2,2,1,2,3,1,4,4,10000.0,1,2,1,2,6,3,2,4,2
1021,3,1,17,48,80,16643,1,1969,1,1,1,4,20000.0,1,115.0,177.0,180.0,5,5,5,1,2,3,2,2,1,70000.0,3,3,1,1,3,2,2,4,2
1022,4,1,24,71,111,16645,1,1971,1,0,4,6,36000.0,1,60.0,170.0,110.0,5,5,4,5,5,5,3,4,5,48000.0,3,2,1,2,3,3,2,3,3
1023,4,2,18,54,88,16629,2,1951,1,1,1,6,0.0,1,80.0,155.0,120.0,4,4,2,1,3,4,5,2,4,0.0,2,2,1,2,3,2,1,4,4
1024,4,2,13,35,65,16698,1,1950,6,1,1,4,1800.0,1,160.0,162.0,90.0,4,3,3,1,2,4,2,4,5,51600.0,3,2,1,2,3,3,3,4,3
1025,5,1,22,65,103,16619,2,1943,1,1,1,1,35259.56261583267,1,75.0,157.0,120.0,3,3,3,1,1,4,1,3,4,25000.0,2,3,1,2,3,2,2,3,2
1026,4,1,27,77,117,16635,2,1973,1,1,1,9,30000.0,4,100.0,164.0,110.0,3,5,3,2,4,3,2,3,5,70000.0,3,3,1,1,3,2,2,4,3
1027,5,2,10,25,47,16646,2,1965,1,1,1,4,0.0,1,72.0,162.0,140.0,2,2,3,1,1,5,1,2,5,10000.0,2,3,1,2,3,2,2,5,3
1028,4,1,16,46,77,16641,1,1925,1,1,1,3,2000.0,1,90.0,160.0,85.0,2,2,3,2,2,3,2,3,5,20000.0,5,2,1,2,3,3,2,3,3
1029,4,1,23,69,109,16701,2,1959,1,1,1,7,200000.0,1,300.0,171.0,140.0,3,2,3,1,3,4,1,1,7,400000.0,6,4,1,2,2,2,2,3,2
1030,5,1,30,85,128,16725,1,1971,1,1,2,7,80000.0,4,110.0,165.0,144.0,5,5,4,2,3,4,3,4,5,150000.0,3,2,2,1,3,2,1,5,2
1031,4,2,29,84,127,16637,1,1958,1,1,1,4,25000.0,1,120.0,160.0,80.0,3,2,3,1,3,4,1,4,4,25000.0,3,3,1,2,3,2,2,3,2
1032,4,2,23,69,109,16703,2,1946,1,1,1,1,3000.0,1,60.0,160.0,120.0,2,2,3,1,2,1,1,2,3,7000.0,2,1,1,2,3,3,2,4,2
1033,5,2,3,6,13,16702,1,1940,1,1,1,1,3000.0,1,20.0,156.0,140.0,5,5,5,1,4,4,1,3,7,4000.0,2,4,1,2,3,2,1,3,2
1034,4,2,10,28,51,16643,2,1928,1,0,1,1,1500.0,1,80.0,155.0,80.0,2,2,5,1,1,1,1,4,2,1700.0,1,2,1,2,7,3,2,5,1
1035,4,2,22,65,103,16624,1,1929,1,1,1,1,0.0,1,100.0,150.0,80.0,4,3,4,1,1,2,1,3,4,10000.0,1,3,1,2,7,2,2,4,2
1036,4,1,10,26,48,16643,2,1988,1,0,4,3,15000.0,1,80.0,160.0,90.0,4,4,4,1,2,3,2,4,5,15000.0,1,3,0,2,1,2,2,3,2
1037,3,2,9,23,45,16618,1,1956,1,1,1,3,20000.0,1,300.0,165.0,120.0,4,4,5,1,3,5,1,2,4,50000.0,6,2,1,2,3,2,1,4,3
1038,4,1,18,53,87,16632,2,1940,1,0,9,3,15000.0,1,220.0,150.0,130.0,5,3,3,2,4,3,1,4,4,30000.0,1,2,1,2,7,2,1,4,2
1039,5,2,31,87,131,16664,1,1948,1,1,1,4,10000.0,1,65.0,160.0,128.0,3,4,2,1,3,3,1,4,1,20000.0,2,2,1,2,3,3,2,4,2
1040,4,2,13,36,66,16700,2,1970,8,1,1,3,600.0,1,444.1014000000002,150.0,100.0,4,4,4,1,4,3,1,4,3,4000.0,2,3,1,2,3,2,2,4,2
1041,4,1,12,32,57,16645,1,1971,1,0,3,6,50000.0,4,90.0,175.0,130.0,4,4,4,4,2,3,1,4,5,80000.0,2,3,1,2,3,2,2,3,2
1042,4,1,13,35,65,16700,1,1954,1,1,1,4,6200.0,1,240.0,162.0,120.0,3,3,4,1,2,4,1,2,4,10000.0,4,2,1,2,3,3,1,3,3
1043,2,2,24,70,110,16650,2,1960,1,1,4,3,10000.0,1,80.0,154.0,125.0,2,2,4,1,4,2,2,2,3,20000.0,5,2,1,2,3,3,3,3,3
1044,5,1,23,68,108,16725,1,1990,1,1,1,12,10000.0,1,83.0,182.0,180.0,5,5,3,2,3,4,4,2,6,20000.0,3,3,1,2,1,2,2,4,3
1045,4,1,27,78,118,16652,1,1980,1,1,1,12,36000.0,1,100.0,178.0,140.0,4,5,5,2,2,4,3,4,3,36000.0,3,3,0,2,3,2,2,4,3
1046,2,2,21,64,102,16637,2,1966,1,1,1,3,0.0,1,50.0,165.0,110.0,5,5,3,1,2,2,1,1,5,100000.0,5,3,1,2,3,2,2,4,2
1047,4,1,6,17,33,16652,2,1941,1,1,1,9,3816.0,1,45.0,155.0,126.0,2,4,4,4,2,3,2,4,6,3816.0,1,1,1,2,3,3,2,3,4
1048,4,1,27,80,120,16647,1,1937,1,1,1,6,30000.0,4,84.0,169.0,130.0,3,5,5,2,2,4,2,4,5,48000.0,2,3,1,2,3,2,2,4,2
1049,2,2,31,89,134,16666,2,1962,1,1,1,3,10000.0,1,55.0,165.0,110.0,1,1,2,1,4,4,1,4,1,10000.0,2,2,1,2,3,2,2,2,3
1050,2,1,1,1,4,16666,1,1941,1,0,1,4,38000.0,4,86.0,176.0,135.0,3,5,4,2,3,3,3,2,4,60000.0,2,3,1,2,3,2,2,3,2
1051,4,2,29,83,126,16636,2,1964,1,1,1,4,0.0,1,30.0,160.0,145.0,2,3,2,1,2,3,1,3,5,3000.0,3,2,1,2,3,2,2,4,2
1052,4,1,16,47,79,16641,2,1987,1,1,1,4,25000.0,1,160.0,158.0,128.0,3,4,4,1,2,4,2,4,5,50000.0,2,3,2,2,3,2,2,3,3
1053,3,1,24,70,110,16659,2,1945,1,0,3,1,24000.0,1,190.0,155.0,108.0,5,3,4,2,4,5,1,2,4,24000.0,1,1,2,2,7,2,2,3,2
1054,4,1,22,67,107,16625,1,1930,1,1,2,7,30000.0,4,108.0,167.0,100.0,4,3,4,2,4,3,4,2,4,80000.0,1,3,1,2,7,2,2,4,2
1055,4,1,18,51,84,16643,2,1940,1,1,1,1,0.0,1,120.0,158.0,100.0,2,2,3,1,4,4,1,4,1,3000.0,2,2,1,2,3,3,2,4,2
1056,5,2,9,22,44,16620,1,1958,1,1,1,6,1500.0,1,150.0,172.0,150.0,4,4,4,1,2,3,1,4,8,6000.0,3,2,1,2,3,2,1,5,3
1057,4,2,16,44,75,16641,1,1988,1,1,1,4,36000.0,1,140.0,168.0,135.0,5,4,4,1,3,3,2,4,1,60000.0,4,2,1,2,3,3,2,4,2
1058,4,1,26,76,116,16710,2,1995,1,1,1,12,12000.0,1,100.0,155.0,100.0,4,3,3,2,2,2,2,4,5,200000.0,1,3,1,1,1,2,2,4,2
1059,3,1,19,57,92,16631,2,1958,1,0,2,3,0.0,1,120.0,160.0,110.0,4,3,4,8,3,3,1,3,4,90000.0,5,3,1,1,3,2,2,3,2
1060,2,1,7,18,39,16657,1,1962,1,1,1,4,0.0,1,55.0,170.0,180.0,2,3,3,5,2,3,3,2,2,12000.0,2,2,1,2,3,3,3,4,3
1061,4,2,10,24,46,16643,2,1951,4,0,8,1,5000.0,1,80.0,160.0,109.0,3,4,2,1,4,3,2,2,7,8000.0,2,3,1,2,3,2,2,2,2
1062,5,1,7,18,38,16651,1,1983,1,1,1,13,0.0,4,60.0,182.0,156.0,4,3,2,2,3,4,5,4,8,200000.0,2,4,1,1,3,1,1,5,2
1063,2,1,13,36,66,16699,2,1962,8,1,1,3,35259.56261583267,1,100.0,150.0,130.0,2,3,4,1,4,3,2,4,4,73913.19252285441,3,2,1,2,3,3,2,3,2
1064,4,1,19,57,92,16633,2,1968,1,1,1,4,35259.56261583267,1,70.0,163.0,112.0,3,2,4,1,2,3,4,4,5,73913.19252285441,3,3,1,1,3,2,2,4,2
1066,4,1,18,52,85,16638,2,1947,1,1,1,1,720.0,1,100.0,155.0,110.0,5,5,5,1,2,1,1,3,4,36000.0,6,2,1,2,3,2,2,4,3
1067,4,1,19,57,92,16633,1,1943,1,1,1,3,30000.0,4,75.0,151.0,126.0,4,3,4,2,2,5,2,3,5,73913.19252285441,2,3,1,2,3,2,2,3,2
1068,4,1,1,1,3,16693,2,1988,1,1,1,10,39600.0,1,26.3,167.0,120.0,4,5,5,2,3,3,3,4,5,64440.0,2,3,1,2,3,2,2,3,2
1069,3,1,22,66,106,16629,2,1965,1,1,3,9,60000.0,1,150.0,161.0,110.0,4,3,3,2,4,3,2,3,5,200000.0,2,4,1,1,3,2,1,4,2
1070,5,1,5,11,27,16643,1,1958,1,1,2,6,10000.0,1,70.0,180.0,175.0,2,2,5,2,1,4,2,3,5,10000.0,1,2,1,2,3,2,3,3,4
1071,2,2,17,49,82,16640,1,1960,1,1,1,6,35259.56261583267,1,40.0,182.0,120.0,1,2,2,4,2,5,4,2,1,73913.19252285441,2,2,0,2,3,2,2,4,2
1072,4,1,4,7,14,16711,1,1994,1,1,1,11,0.0,2,44.0,172.0,105.0,4,4,4,2,3,3,5,4,5,70000.0,2,1,1,2,1,2,2,3,2
1073,3,1,4,7,15,16710,2,1969,1,1,1,4,30000.0,1,14.58986,158.0,109.0,5,5,5,1,1,4,3,4,4,73913.19252285441,2,2,0,2,5,3,2,4,2
1074,5,1,1,1,4,16694,2,1959,1,1,1,4,36000.0,1,90.0,160.0,120.0,3,4,4,4,5,4,2,4,7,120000.0,3,3,1,2,3,2,2,3,2
1075,3,1,19,57,91,16632,2,1955,1,1,1,4,2750.0,1,48.0,162.0,120.0,3,3,5,5,2,5,2,4,5,6000.0,2,2,1,2,3,2,2,3,3
1076,2,1,8,19,41,16653,1,1987,1,1,1,6,1000.0,4,20.0,176.0,128.0,5,4,2,1,1,4,3,2,1,5000.0,2,2,1,2,1,3,2,3,3
1077,4,1,18,51,84,16643,1,1941,1,1,1,1,3600.0,1,60.0,165.0,116.0,2,1,3,1,1,1,1,2,4,2000.0,1,2,1,2,3,3,2,4,3
1078,3,1,31,88,133,16663,1,1958,1,1,1,4,10000.0,4,83.0,178.0,180.0,4,4,4,2,4,5,1,2,3,30000.0,2,3,1,2,3,3,3,4,3
1079,2,2,18,52,85,16637,2,1997,1,0,3,4,0.0,2,200.0,156.0,102.0,3,4,3,1,2,4,5,2,3,20000.0,6,2,1,2,1,3,2,3,2
1080,4,2,9,21,43,16621,1,1947,1,1,1,3,10000.0,1,100.0,163.0,120.0,2,3,3,1,1,3,1,3,3,10000.0,1,3,1,2,7,2,1,3,3
1081,4,2,22,67,107,16622,1,1989,1,1,4,4,10000.0,1,300.0,176.0,134.0,5,4,5,1,3,2,1,3,3,60000.0,4,3,1,2,3,2,2,4,2
1082,4,2,23,69,109,16659,2,1952,1,1,1,1,0.0,1,80.0,150.0,110.0,3,3,3,1,3,4,1,2,7,10000.0,5,3,1,2,7,3,1,4,3
1083,5,2,15,41,72,16631,1,1969,1,0,1,4,22000.0,1,150.0,175.0,145.0,2,5,5,1,4,4,2,3,5,30000.0,3,2,1,2,3,2,2,3,2
1084,4,1,27,77,117,16636,1,1983,1,1,1,11,35000.0,4,100.0,179.0,140.0,5,5,4,2,2,4,4,4,5,50000.0,3,4,2,2,3,2,1,4,3
1085,4,1,7,18,39,16659,2,1988,1,1,1,4,0.0,1,50.0,160.0,110.0,4,4,4,5,3,3,3,4,5,120000.0,3,3,1,1,3,2,2,4,2
1086,4,2,6,12,28,16647,2,1964,1,1,1,4,1000.0,1,80.0,155.0,90.0,4,4,4,1,3,3,1,4,5,10000.0,2,3,1,2,3,2,2,4,3
1087,4,2,4,7,22,16676,1,1993,1,1,1,3,50000.0,1,14.58986,178.0,176.0,3,5,4,1,2,2,5,2,2,50000.0,2,3,1,2,1,2,1,3,2
1088,4,1,26,76,116,16707,2,1966,1,1,1,4,30000.0,1,80.0,150.0,103.0,5,4,4,2,4,4,4,4,4,60000.0,5,3,1,1,3,2,2,3,2
1089,4,2,31,88,133,16664,2,1990,1,1,1,4,10000.0,1,50.0,170.0,112.0,3,4,3,1,4,3,2,2,5,50000.0,3,3,1,2,3,3,3,3,2
1090,4,1,26,76,116,16725,2,1970,1,1,1,4,0.0,1,50.0,165.0,120.0,3,5,3,1,3,3,2,4,5,73913.19252285441,1,3,1,2,6,2,2,3,3
1091,4,1,6,15,31,16658,2,1951,1,1,1,3,10000.0,1,70.0,161.0,120.0,4,3,3,1,2,2,2,4,3,50000.0,2,2,0,2,7,2,2,4,2
1092,4,2,17,48,80,16640,2,1967,1,1,1,3,3000.0,1,60.0,158.0,170.0,4,3,2,4,2,3,1,2,6,45000.0,3,4,1,2,3,2,2,4,3
1093,5,2,18,52,86,16634,2,1955,1,1,1,1,0.0,1,200.0,165.0,120.0,5,5,5,1,4,4,1,4,5,10000.0,1,3,1,2,3,2,2,4,2
1094,5,1,12,32,58,16677,2,1992,1,1,1,10,0.0,2,80.0,160.0,70.0,5,5,4,1,3,4,3,3,3,100000.0,1,3,1,2,1,2,1,3,3
1095,4,1,6,17,33,16651,1,1956,1,1,1,7,40000.0,1,160.0,178.0,140.0,2,3,4,5,1,2,2,4,5,70000.0,3,4,2,2,3,2,1,4,2
1096,4,1,12,33,62,16654,2,1991,1,0,5,4,20000.0,1,220.0,158.0,120.0,4,4,3,1,3,3,2,2,5,73913.19252285441,2,3,3,2,3,2,2,3,2
1097,3,2,10,28,51,16645,1,1944,1,1,1,3,5000.0,1,60.0,160.0,130.0,3,4,3,1,3,3,2,4,5,5000.0,1,2,1,2,1,3,2,3,3
1098,4,2,13,35,65,16700,2,1981,6,1,1,4,2000.0,1,120.0,158.0,110.0,2,2,3,1,5,2,1,3,2,6000.0,3,2,1,1,3,2,2,3,4
1099,4,1,22,65,104,16623,2,1977,1,1,1,4,0.0,1,90.0,163.0,137.0,4,5,4,1,2,3,1,4,4,50000.0,3,3,1,2,3,2,1,4,2
1100,4,2,31,87,130,16663,2,1939,1,1,1,3,1000.0,1,77.0,170.0,110.0,4,5,5,1,3,4,1,4,8,1000.0,1,3,1,2,7,2,2,4,2
1101,4,2,16,47,79,16643,1,1958,1,1,1,3,20000.0,1,360.0,160.0,116.0,2,3,3,1,3,3,1,3,3,30000.0,3,2,2,2,3,3,1,3,3
1102,4,1,31,87,130,16662,2,1965,1,0,5,6,0.0,1,54.0,158.0,115.0,2,3,3,2,3,4,2,1,5,20000.0,2,4,1,2,3,2,2,4,2
1103,4,1,4,7,17,16713,1,1955,1,1,1,3,28800.0,1,140.0,163.0,130.0,3,3,5,4,2,4,1,1,4,50000.0,2,2,1,2,3,3,2,4,2
1104,4,1,5,11,27,16644,1,1989,1,1,1,6,24000.0,1,90.0,170.0,160.0,5,4,4,1,4,4,3,4,3,50000.0,2,3,1,1,1,2,1,4,3
1105,2,1,7,18,37,16646,2,1985,1,1,1,3,20000.0,1,40.0,160.0,100.0,4,4,3,2,3,2,1,2,5,20000.0,1,3,0,1,1,2,2,2,2
1106,4,2,2,4,11,16647,1,1976,1,1,2,3,10000.0,1,50.0,165.0,118.0,4,4,4,1,2,1,1,3,2,50000.0,4,3,1,2,3,2,1,3,2
1107,1,2,6,12,28,16647,2,1970,1,1,1,3,0.0,1,150.0,168.0,108.0,2,4,2,1,3,3,2,2,6,0.0,2,1,1,2,7,3,3,4,3
1108,3,2,2,2,9,16639,1,1970,8,1,1,4,35259.56261583267,1,200.0,180.0,140.0,4,5,4,1,3,3,2,2,3,20000.0,7,3,2,2,3,3,2,4,3
1109,5,2,29,84,127,16638,1,1955,1,1,1,1,0.0,1,142.0,150.0,130.0,5,5,5,1,1,4,1,4,5,500000.0,1,3,1,2,7,1,1,5,2
1110,3,2,19,57,92,16634,2,1980,1,1,1,6,40000.0,1,180.0,156.0,102.0,4,4,3,2,2,2,2,2,5,80000.0,3,3,1,2,6,2,2,4,3
1111,4,1,24,72,112,16653,2,1982,1,1,1,4,35259.56261583267,1,100.0,150.0,94.0,4,5,5,1,3,3,2,3,5,200000.0,4,3,1,1,3,2,1,4,2
1112,3,2,6,15,31,16657,2,1963,1,1,1,4,100000.0,1,200.0,165.0,110.0,3,3,3,1,2,2,2,3,4,200000.0,3,3,1,2,3,2,2,3,2
1113,4,1,26,75,115,16653,2,1990,1,1,1,13,100000.0,1,120.0,155.0,102.0,4,5,5,5,2,4,4,3,3,73913.19252285441,2,3,1,1,3,2,1,3,3
1114,4,2,19,57,92,16635,2,1971,1,1,1,3,20000.0,1,125.0,159.0,110.0,3,4,3,1,2,2,2,4,3,20000.0,4,2,1,2,7,2,2,3,2
1115,4,1,1,1,7,16676,1,1953,1,1,1,4,50000.0,4,39.0,170.0,160.0,3,4,4,2,2,4,1,3,7,100000.0,2,2,2,2,3,2,2,3,2
1116,4,2,28,81,121,16648,2,1978,1,1,1,3,20000.0,1,70.0,158.0,118.0,2,2,3,1,4,3,2,4,5,20000.0,5,3,1,2,3,3,2,3,2
1117,3,1,15,40,71,16627,1,1940,1,1,1,4,38400.0,1,120.0,170.0,125.0,3,5,4,4,1,4,1,4,3,38400.0,1,4,1,2,7,2,2,5,2
1118,2,1,27,78,118,16651,2,1960,1,0,7,3,25000.0,1,80.0,160.0,130.0,3,4,3,2,1,3,1,2,4,60000.0,1,2,1,2,3,3,2,4,3
1119,4,1,22,66,106,16626,1,1970,1,1,1,4,200000.0,1,220.0,178.0,150.0,4,4,3,1,3,3,2,4,5,200000.0,2,4,2,1,3,2,1,5,2
1120,4,2,26,74,114,16655,1,1957,1,1,1,9,50000.0,4,100.0,165.0,130.0,5,5,5,4,3,3,3,4,5,200000.0,1,4,1,2,3,2,1,3,2
1121,4,2,17,49,82,16640,1,1988,1,1,1,4,35000.0,1,80.0,170.0,160.0,4,5,5,1,4,5,2,3,4,100000.0,4,3,1,2,1,2,2,3,2
1122,4,2,22,65,104,16624,2,1961,8,1,2,3,3000.0,1,35.0,147.0,130.0,2,2,2,1,2,3,1,4,3,7000.0,3,2,1,2,3,3,2,3,2
1123,4,1,31,87,132,16669,1,1976,1,1,1,7,35259.56261583267,1,30.0,173.0,160.0,4,5,5,2,2,1,1,3,3,50000.0,4,3,1,2,3,3,2,4,2
1124,3,1,16,46,77,16641,2,1968,1,1,1,4,0.0,1,120.0,168.0,135.0,3,4,3,1,3,3,3,2,5,80000.0,3,3,1,2,3,2,2,3,2
1125,4,1,1,1,7,16676,2,1936,1,1,1,4,36000.0,1,34.0,150.0,100.0,2,2,3,2,2,3,1,3,6,72000.0,2,2,1,2,3,3,2,3,3
1126,4,1,19,56,90,16635,1,1939,1,1,1,6,35000.0,1,41.0,166.0,120.0,2,2,3,5,4,4,1,3,5,35000.0,2,3,2,2,3,2,2,3,2
1127,5,1,10,27,49,16646,2,1987,1,1,1,13,50000.0,4,110.0,162.0,98.0,4,5,5,2,2,2,3,3,6,100000.0,2,3,0,2,3,2,2,4,2
1128,4,1,11,30,53,16634,1,1985,1,1,1,12,30000.0,2,80.0,178.0,128.0,5,4,3,5,3,3,3,4,6,60000.0,3,3,1,1,3,2,1,3,2
1129,3,1,4,7,17,16712,1,1962,1,1,1,6,30000.0,1,111.0,165.0,150.0,4,4,4,2,3,3,3,3,5,50000.0,4,2,1,1,3,2,1,3,3
1130,4,2,17,50,83,16643,1,1969,1,1,1,4,30000.0,1,238.0,168.0,135.0,3,3,3,1,3,3,2,3,4,40000.0,3,2,1,1,3,2,2,4,3
1131,4,2,18,52,85,16637,1,1992,1,1,1,4,35259.56261583267,1,90.0,175.0,130.0,4,4,4,1,4,3,3,4,4,73913.19252285441,4,3,1,2,1,2,2,3,2
1132,5,1,7,18,36,16653,2,1995,1,1,1,12,0.0,2,45.0,160.0,95.0,5,5,4,5,3,4,3,4,6,500000.0,3,4,1,1,1,2,2,4,2
1133,4,1,18,51,84,16643,1,1951,1,1,1,1,9000.0,1,108.0,170.0,90.0,3,3,3,1,4,2,2,4,3,30000.0,2,2,1,2,3,3,1,3,3
1134,3,1,1,1,3,16674,1,1934,1,1,1,4,42000.0,1,34.0,167.0,140.0,3,4,3,2,3,4,2,4,5,52000.0,2,3,2,2,3,2,2,3,2
1135,4,1,6,12,28,16645,2,1950,1,1,1,1,12000.0,1,52.0,157.0,130.0,5,4,4,1,3,4,1,4,6,12000.0,1,3,1,2,7,2,1,3,2
1136,2,1,24,71,111,16650,2,1947,1,0,6,1,0.0,1,70.0,158.0,120.0,2,2,4,5,1,4,1,1,1,25000.0,5,2,1,2,3,3,2,4,3
1137,5,1,24,71,111,16651,1,1963,1,0,6,3,20000.0,1,150.0,171.0,130.0,5,5,5,5,2,4,1,4,5,25000.0,3,3,1,2,3,2,2,3,2
1138,4,1,5,8,23,16647,2,1956,1,0,1,6,20000.0,1,27.0,162.0,160.0,4,4,4,2,3,3,3,4,6,20000.0,1,2,1,2,7,3,3,3,2
1139,5,1,6,17,33,16651,1,1991,1,1,1,6,20000.0,1,110.0,175.0,160.0,5,5,5,5,2,5,2,4,2,100000.0,2,3,1,1,1,2,3,1,2
1140,2,1,17,50,83,16641,1,1951,1,1,1,3,8000.0,1,240.0,172.0,160.0,4,4,2,2,2,4,2,2,4,25000.0,4,1,1,2,3,3,3,3,2
1141,2,2,13,35,65,16699,2,1932,6,1,1,1,2100.0,1,70.0,147.0,70.0,1,1,3,1,3,4,1,4,1,20000.0,1,1,1,2,7,3,1,3,2
1142,4,1,22,66,105,16627,2,1952,1,1,1,3,12000.0,1,85.0,160.0,110.0,3,5,5,2,4,4,2,4,4,36000.0,3,2,1,2,3,3,3,4,2
1143,3,1,12,32,59,16653,1,1965,1,1,1,4,35259.56261583267,1,45.0,165.0,130.0,4,3,3,5,3,3,3,3,5,73913.19252285441,5,2,0,2,1,2,3,3,2
1144,3,2,29,83,126,16640,2,1944,1,1,1,1,0.0,1,230.0,155.0,80.0,3,2,4,1,3,4,1,2,5,80000.0,3,3,1,2,7,2,1,3,2
1145,4,2,31,86,129,16665,2,1974,1,1,1,4,20000.0,1,100.0,158.0,90.0,3,2,3,1,2,3,1,5,3,20000.0,5,2,1,2,3,2,1,3,1
1146,4,1,21,64,102,16633,2,1982,1,1,1,4,20000.0,1,120.0,165.0,107.0,5,4,4,1,2,3,1,1,5,40000.0,5,3,1,2,3,2,2,3,3
1147,4,1,10,26,48,16643,2,1975,1,1,1,7,0.0,2,51.0,163.0,102.0,4,4,3,2,3,3,2,4,1,35000.0,4,2,1,2,3,3,3,4,2
1148,5,2,17,48,80,16640,1,1930,1,1,1,1,4000.0,4,444.1014000000002,167.0,130.0,5,5,5,1,5,5,1,5,5,20000.0,4,3,1,2,1,2,1,3,2
1149,4,2,21,62,98,16632,1,1991,8,1,3,4,36000.0,1,210.0,167.0,120.0,5,5,2,1,2,4,1,4,3,120000.0,1,3,2,2,1,2,1,4,3
1150,4,2,23,69,109,16703,2,1972,1,1,3,2,15000.0,1,100.0,157.0,118.0,2,3,3,1,2,2,1,2,2,40000.0,3,2,1,2,3,3,3,3,3
1151,4,1,1,1,6,16671,2,1960,1,1,1,6,48000.0,1,99.0,165.0,130.0,4,4,4,5,2,4,2,3,5,90000.0,1,4,1,1,3,2,2,4,2
1152,3,1,9,23,45,16621,2,1950,1,1,1,4,10000.0,1,187.0,157.0,120.0,2,2,4,5,2,3,1,2,6,73913.19252285441,4,3,1,2,3,2,2,4,3
1153,4,2,15,41,72,16631,2,1963,1,1,1,3,10000.0,1,100.0,150.0,116.0,2,3,3,1,4,1,1,4,4,60000.0,6,3,1,2,3,3,1,3,3
1154,2,1,31,86,129,16667,2,1950,1,1,1,3,0.0,1,60.0,160.0,120.0,2,5,4,2,3,3,1,3,1,5000.0,4,1,1,2,7,3,2,3,3
1155,5,2,23,69,109,16703,2,1934,1,0,1,1,35259.56261583267,1,60.0,151.0,105.0,2,2,3,1,2,3,1,5,4,20000.0,7,2,1,2,7,2,2,5,2
1156,4,1,13,36,66,16699,1,1965,1,1,1,3,15000.0,1,300.0,165.0,120.0,2,2,3,2,3,3,1,4,4,30000.0,2,2,1,2,3,3,1,4,3
1157,5,1,4,7,16,16709,2,1951,1,1,1,4,50000.0,1,115.0,162.0,140.0,3,1,4,5,2,4,3,3,5,100000.0,2,2,1,1,3,2,1,3,2
1158,5,2,15,42,73,16630,1,1940,1,1,1,4,0.0,1,100.0,165.0,128.0,5,4,4,1,2,4,2,3,5,25000.0,2,4,1,2,3,2,1,4,2
1159,4,2,29,84,127,16639,1,1945,1,1,1,1,7000.0,1,80.0,164.0,115.0,4,3,4,1,2,4,1,4,4,8000.0,1,1,1,2,7,3,1,5,2
1160,3,1,24,71,111,16657,1,1975,1,1,1,3,35259.56261583267,1,100.0,175.0,130.0,4,5,3,4,2,1,1,2,4,100000.0,3,3,1,2,3,2,2,4,2
1161,5,2,9,22,44,16620,2,1994,1,1,1,4,50000.0,1,330.0,163.0,100.0,5,5,5,1,4,4,1,3,5,80000.0,5,3,1,2,3,2,1,3,2
1162,4,1,4,7,20,16709,2,1950,1,1,1,4,30000.0,1,46.0,164.0,130.0,3,3,3,5,3,5,4,4,4,50000.0,4,3,1,2,3,3,3,4,2
